"Sample","Num_Segments","Mean_Seg_Mean","Frac_Amp","Frac_Del","SampleType"
"TCGA-A2-A0CK-01A-11D-A227-01",81,-0.132712345679012,0.135802469135802,0.234567901234568,"Tumor"
"TCGA-A2-A0CK-10A-01D-A229-01",73,-0.460486301369863,0.0136986301369863,0.328767123287671,"Normal"
"TCGA-A2-A0CL-01A-11D-A111-01",287,0.046318118466899,0.362369337979094,0.181184668989547,"Tumor"
"TCGA-A2-A0CL-10A-01D-A113-01",87,-0.494267816091954,0.0459770114942529,0.32183908045977,"Normal"
"TCGA-A2-A0CM-01A-31D-A036-01",386,-0.23115518134715,0.163212435233161,0.303108808290155,"Tumor"
"TCGA-A2-A0CM-10A-01D-A037-01",39,-0.367076923076923,0.0512820512820513,0.153846153846154,"Normal"
"TCGA-A2-A0CO-01A-13D-A227-01",62,-0.280520967741935,0.0645161290322581,0.354838709677419,"Tumor"
"TCGA-A2-A0CO-10A-01D-A229-01",75,-0.3974,0.0266666666666667,0.32,"Normal"
"TCGA-A2-A0CP-01A-11D-A036-01",109,-0.289916513761468,0.155963302752294,0.376146788990826,"Tumor"
"TCGA-A2-A0CP-10A-01D-A037-01",35,-0.130957142857143,0.0571428571428571,0.114285714285714,"Normal"
"TCGA-A2-A0CQ-01A-21D-A036-01",47,-0.232346808510638,0.127659574468085,0.25531914893617,"Tumor"
"TCGA-A2-A0CQ-10A-01D-A037-01",141,-0.461851773049645,0.0425531914893617,0.375886524822695,"Normal"
"TCGA-A2-A0CR-01A-11D-A227-01",57,-0.328854385964912,0,0.298245614035088,"Tumor"
"TCGA-A2-A0CR-10A-01D-A229-01",83,-0.47394578313253,0.0240963855421687,0.337349397590361,"Normal"
"TCGA-A2-A0CS-01A-11D-A111-01",67,-0.245317910447761,0.134328358208955,0.358208955223881,"Tumor"
"TCGA-A2-A0CS-10A-01D-A113-01",41,-0.190382926829268,0.024390243902439,0.195121951219512,"Normal"
"TCGA-A2-A0CT-01A-31D-A059-01",168,-0.201431547619048,0.375,0.386904761904762,"Tumor"
"TCGA-A2-A0CT-10A-01D-A059-01",69,-0.383639130434783,0.0289855072463768,0.304347826086957,"Normal"
"TCGA-A2-A0CU-01A-12D-A036-01",171,-0.256351461988304,0.245614035087719,0.391812865497076,"Tumor"
"TCGA-A2-A0CU-10A-01D-A037-01",53,-0.196964150943396,0.0754716981132075,0.207547169811321,"Normal"
"TCGA-A2-A0CV-01A-31D-A111-01",73,-0.340169863013699,0.0547945205479452,0.356164383561644,"Tumor"
"TCGA-A2-A0CV-10A-01D-A113-01",77,-0.460574025974026,0.012987012987013,0.337662337662338,"Normal"
"TCGA-A2-A0CW-01A-21D-A111-01",419,0.310135799522673,0.463007159904535,0.238663484486873,"Tumor"
"TCGA-A2-A0CW-10A-01D-A113-01",35,-0.171648571428571,0.0285714285714286,0.142857142857143,"Normal"
"TCGA-A2-A0CX-01A-21D-A011-01",216,0.193600462962963,0.37962962962963,0.273148148148148,"Tumor"
"TCGA-A2-A0CX-10A-01D-A012-01",51,-0.530627450980392,0,0.274509803921569,"Normal"
"TCGA-A2-A0CY-10A-01D-A037-01",45,-0.420715555555556,0,0.244444444444444,"Normal"
"TCGA-A2-A0CZ-10A-01D-A037-01",47,-0.205104255319149,0.0638297872340425,0.191489361702128,"Normal"
"TCGA-A2-A0D0-01A-11D-A011-01",565,-0.110485486725664,0.357522123893805,0.357522123893805,"Tumor"
"TCGA-A2-A0D0-10A-01D-A012-01",81,-0.603551851851852,0,0.358024691358025,"Normal"
"TCGA-A2-A0D1-01A-11D-A036-01",356,0.103170505617978,0.325842696629214,0.342696629213483,"Tumor"
"TCGA-A2-A0D1-10A-01D-A037-01",43,-0.233246511627907,0.0465116279069767,0.186046511627907,"Normal"
"TCGA-A2-A0D2-01A-21D-A036-01",455,0.0468301098901099,0.235164835164835,0.114285714285714,"Tumor"
"TCGA-A2-A0D2-10A-01D-A037-01",65,-0.2552,0.0615384615384615,0.261538461538462,"Normal"
"TCGA-A2-A0D3-01A-11D-A111-01",59,-0.408372881355932,0.135593220338983,0.305084745762712,"Tumor"
"TCGA-A2-A0D3-10A-01D-A113-01",31,-0.153912903225806,0.032258064516129,0.0967741935483871,"Normal"
"TCGA-A2-A0D4-01A-11D-A011-01",290,-0.443458275862069,0.127586206896552,0.475862068965517,"Tumor"
"TCGA-A2-A0D4-10A-01D-A012-01",45,-0.628344444444444,0,0.244444444444444,"Normal"
"TCGA-A2-A0EM-01A-11D-A036-01",51,-0.442903921568627,0.0784313725490196,0.313725490196078,"Tumor"
"TCGA-A2-A0EM-10A-01D-A037-01",55,-0.301001818181818,0.0545454545454545,0.236363636363636,"Normal"
"TCGA-A2-A0EN-01A-13D-A087-01",67,-0.36905223880597,0.0149253731343284,0.283582089552239,"Tumor"
"TCGA-A2-A0EN-10A-01D-A087-01",75,-0.331009333333333,0.0666666666666667,0.28,"Normal"
"TCGA-A2-A0EO-01A-11D-A036-01",77,-0.374312987012987,0.142857142857143,0.376623376623377,"Tumor"
"TCGA-A2-A0EO-10A-01D-A037-01",59,-0.38671186440678,0.0338983050847458,0.271186440677966,"Normal"
"TCGA-A2-A0EP-01A-52D-A22W-01",41,-0.152417073170732,0.0731707317073171,0.146341463414634,"Tumor"
"TCGA-A2-A0EQ-01A-11D-A036-01",217,0.00465806451612903,0.313364055299539,0.202764976958525,"Tumor"
"TCGA-A2-A0EQ-10A-01D-A037-01",103,-0.544325242718447,0.0485436893203883,0.339805825242718,"Normal"
"TCGA-A2-A0ER-01A-21D-A036-01",135,0.145138518518519,0.318518518518519,0.274074074074074,"Tumor"
"TCGA-A2-A0ER-10A-01D-A037-01",67,-0.332028358208955,0.0298507462686567,0.298507462686567,"Normal"
